name	is_dir	size	date
Aigles, Les (198x)(P., Gerard)(FR).zip	False	5.9 KiB	18-Feb-2025 10:01
Burgertime (1987)(JMR Diffusion)(FR).zip	False	6.5 KiB	18-Feb-2025 10:01
CB5 (198x)(Exelvision)(FR).zip	False	5.8 KiB	18-Feb-2025 10:01
Descente (198x)(Paralleles)(FR).zip	False	6.1 KiB	18-Feb-2025 10:01
Kamicar (1987)(Arosio, Charles)(FR).zip	False	5.7 KiB	18-Feb-2025 10:01
Kong (1987)(JMR Diffusion)(FR).zip	False	8.9 KiB	18-Feb-2025 10:01
Pindo (198x)(Minipuce)(FR).zip	False	7.3 KiB	18-Feb-2025 10:01
Pyrox (198x)(Paralleles)(FR).zip	False	6.4 KiB	18-Feb-2025 10:01
Quizzy (198x)(Exelvision)(FR).zip	False	12.2 KiB	18-Feb-2025 10:01
Slalom Geant (198x)(Paralleles)(FR).zip	False	6.5 KiB	18-Feb-2025 10:01
Sphinx d'Or, Le (198x)(Paralleles)(FR).zip	False	8.4 KiB	18-Feb-2025 10:01
